ADM_RATE,AGE_ENTRY,AVGFACSAL,CITY,CONTROL,COSTT4_A,ENDOWBEGIN,FEMALE,FIRST_GEN,GRAD_DEBT_MDN,HBCU,HSI,ICLEVEL,INSTNM,INSTURL,MD_EARN_WNE_P10,NANTI,OPEID,PCIP13,PCIP14,PCIP27,PCIP52,PCT_ASIAN,PCT_BLACK,PCT_HISPANIC,PCT_WHITE,PCTPELL,PFTFAC,PREDDEG,RELAFFIL,SAT_AVG,SCH_DEG,STABBR,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_2MOR,UGDS_AIAN,UGDS_ASIAN,UGDS_BLACK,UGDS_HISP,UGDS_NHPI,UGDS_NRA,UGDS_UNKN,UGDS_WHITE,LATITUDE,LONGITUDE,date
0.9332,23.542024014,12382,Brookville,2,51591,242211453,0.6839010047,0.3563569682,23577,0,0,1,Long Island University,www.liu.edu/,54935,0,00275100,0.0481,0,0.0044,0.1076,6.38999986648559,24.0200004577636,15.7799997329711,58.6399993896484,0.2028,0.4208,3,NULL,1219,3,NY,5909,0.3168,0.6832,0.0284,0.0024,0.1229,0.1537,0.1499,0.0024,0.031,0.1134,0.396,40.820714,-73.593678,2024-06-13
0.9487,19,4924,Brooklyn,2,28697,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0,0,1,Machzikei Hadath Rabbinical College,https://mhrc.edu/,NULL,0,01302600,0,0,0,0,16.6499996185302,3.10999989509582,10.0900001525878,71.4400024414062,0.9177,NULL,3,NULL,NULL,3,NY,172,1,0,0,0,0,0,0,0,0.0116,0,0.9884,40.627937,-73.988378,2024-06-13
0.7479,20.080882353,11402,Riverdale,2,56460,119179757,0.4779411765,0.2541636495,26000,0,0,1,Manhattan College,www.manhattan.edu/,89589,0,00275800,0.066,0.3034,0.0092,0.2243,4.38999986648559,8.40999984741211,13.1599998474121,78.7200012207031,0.3015,0.5188,3,30,NULL,3,NY,3166,0.5692,0.4308,0.0275,0.0019,0.0436,0.0606,0.2552,0,0.0347,0.079,0.4975,40.889756,-73.901893,2024-06-13
0.4899,19.807692308,7870,New York,2,71175,27991417,0.4538461538,PrivacySuppressed,26994,0,0,1,Manhattan School of Music,www.msmnyc.edu/,24590,0,00275900,0,0,0,0,6.05999994277954,7.5,11.1899995803833,79.0699996948242,0.161,0.2358,3,NULL,NULL,3,NY,489,0.5174,0.4826,0.0266,0.0082,0.0552,0.0675,0.1022,0,0.3292,0.0143,0.3967,40.812312,-73.961334,2024-06-13
0.8294,19.838582677,9110,Purchase,2,50645,28585271,0.7073490814,0.3010130246,25000,0,1,1,Manhattanville College,https://www.mville.edu/,54461,0,00276000,0.0031,0,0.0031,0.2315,4.28000020980835,10.9399995803833,14.9799995422363,75.6900024414062,0.291,0.3472,3,NULL,1161,3,NY,1326,0.3922,0.6078,0.0196,0.0008,0.0241,0.1056,0.2881,0.0038,0.0302,0.0354,0.4925,41.032187,-73.715645,2024-06-13
0.3745,27.347747748,6934,Albany,2,23229,1106828,0.8702702703,0.4099009901,20528,0,0,1,Maria College of Albany,www.mariacollege.edu/,46212,0,00276300,0,0,0,0,2.13000011444091,11.4799995422363,3.30999994277954,83.0500030517578,0.6291,0.9167,2,30,NULL,2,NY,715,0.1133,0.8867,0.0196,0.0028,0.0364,0.0979,0.0545,0.0014,0.0462,0.3357,0.4056,42.657789,-73.806287,2024-06-13
0.5995,20.701010101,9969,Poughkeepsie,2,60386,312885533,0.601010101,0.1883905013,25000,0,0,1,Marist College,www.marist.edu/,74865,0,00276500,0.0219,0,0.0132,0.3058,3.4300000667572,6.90000009536743,7.55000019073486,84.7300033569336,0.1471,0.4125,3,NULL,1282,3,NY,5097,0.4232,0.5768,0.0308,0.0004,0.0334,0.0441,0.1228,0.001,0.0216,0.0075,0.7385,41.720937,-73.935484,2024-06-13
0.7691,20.592552026,8314,New York,2,58194,21143119,0.7897042716,0.2263710618,25750,0,0,1,Marymount Manhattan College,www.mmm.edu/,48320,0,00276900,0,0,0,0.1005,5.01999998092651,11.0299997329711,10.4099998474121,76.9300003051757,0.2753,0.2295,3,NULL,1168,3,NY,1713,0.1862,0.8138,0.0607,0.0012,0.028,0.1039,0.2049,0.0018,0.0193,0.045,0.5353,40.768787,-73.959767,2024-06-13
0.6999,24.109274564,5500,Buffalo,2,38895,1988890,0.7217630854,0.3919915701,23000,0,0,1,Medaille University,www.medaille.edu/,46151,0,00277700,0.0542,0,0,0.1831,1.25999999046325,11.7200002670288,3.04999995231628,83.9100036621093,0.5365,0.2969,3,NULL,NULL,3,NY,1276,0.2649,0.7351,0,0.018,0.0196,0.2234,0.0509,0.0039,0,0.0486,0.6356,42.92856,-78.855941,2024-06-13
1,28.958333333,8121,Albany,2,NULL,NULL,0.875,0.2738095238,14745,0,0,2,St. Peter's Hospital College of Nursing,https://www.sphp.com/careers/schools-of-nursing/,75778,0,01220300,0,0,0,0,2.21000003814697,6.32000017166137,2.67000007629394,88.7900009155273,0.363,NULL,2,NULL,NULL,2,NY,130,0.1615,0.8385,0,0,0.1154,0.1769,0.0462,0,0,0.0615,0.6,42.658346,-73.807616,2024-06-13
